latitude,longitude,k_value,description
-0.9432,112.1349,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-3.5492,122.3161,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-3.447,122.4335,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-3.5318,122.2008,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
1.7926,115.3906,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-1.0108,111.749,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-2.6789,120.8555,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-1.7887,125.0123,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-1.8811,111.7706,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-1.8871,110.8839,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-5.9544,124.0176,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-9.1089,124.7406,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-5.7973,112.6629,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-5.5302,123.761,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-6.0972,120.4939,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-10.7086,123.1357,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-10.5231,121.8666,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-10.2466,123.4026,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-9.7508,120.0323,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-8.8112,116.1435,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-8.7346,115.5506,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-8.7375,115.1858,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-8.472,113.3397,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-9.3631,125.0102,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-8.4247,120.6941,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-7.1217,114.3558,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-7.0339,113.3498,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-6.9159,115.3743,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-1.5994,119.6399,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-0.6785,123.1532,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-8.7215,119.669,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-4.7917,115.8142,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-8.5061,123.0118,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.5708,119.4665,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-2.7806,119.4771,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-9.9496,120.0667,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.3322,123.1896,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.5177,116.4066,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.394,123.5561,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.3863,124.1326,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.2482,117.5595,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.2001,119.0741,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.2927,124.7176,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.6313,117.8575,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.6406,121.2618,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-8.3346,115.1279,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-7.9333,113.0917,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-7.3789,121.7935,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-7.3514,121.1129,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-7.3007,120.9304,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-7.4438,110.3625,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-7.091,120.6946,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
